prolly proximity benchmark
schema_version=2
revision=d5a24d63fd14a8fae454b16aee67050bdf0db8fc
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
machine=Haipings-Mac-Studio.local
store=memory
seed=0
records=100000
profile=quantizers
search_repeats=30
metric=Cosine
k=10
eligibility_ppm=1000000
effective_k=10
turboquant_bits=4
rerank_multiplier=16
search_cache=warm
search_order=scalar-first
async_quantizers=false
operation,dimensions,threads,micros,metric_a,metric_b
source_build,768,0,9899813.167,100000,0
source_closure_bytes,768,0,0.000,889800353,94426
turboquant_build,768,1,1290296.083,76800000,39200000
turboquant_build_resources,768,1,0.000,1864126,1228800000
turboquant_build,768,2,851060.250,76800000,39200000
turboquant_build_resources,768,2,0.000,1864126,1228800000
turboquant_build,768,4,636131.958,76800000,39200000
turboquant_build_resources,768,4,0.000,1864126,1228800000
turboquant_sidecar_bytes,768,0,0.000,39757465,39200000
turboquant_manifest_code_bytes,768,0,0.000,137,39757328
turboquant_search_scalar,768,0,162468.125,100000,160
turboquant_search_scalar_p95,768,0,168200.167,39694240,133879091
turboquant_search_scalar_p99,768,0,171545.000,160,95518040
turboquant_search_scalar_work,768,0,0.000,160,1
turboquant_search_scalar_io,768,0,0.000,100160,796
turboquant_search_scalar_rerank,768,0,0.000,160,39694240
turboquant_recall,768,0,0,0.500000,0.009427194832802563
turboquant_search_simd,768,0,180048.416,100000,160
turboquant_search_simd_p95,768,0,189416.083,39694240,133879091
turboquant_search_simd_p99,768,0,260327.084,160,95518040
turboquant_search_simd_work,768,0,0.000,160,1
turboquant_search_simd_io,768,0,0.000,100160,796
turboquant_search_simd_rerank,768,0,0.000,160,39694240
turboquant_search_auto,768,0,162453.625,100000,160
turboquant_search_auto_p95,768,0,164138.833,39694240,133879091
turboquant_search_auto_p99,768,0,165662.667,160,95518040
turboquant_search_auto_work,768,0,0.000,160,1
turboquant_search_auto_io,768,0,0.000,100160,796
turboquant_search_auto_rerank,768,0,0.000,160,39694240
pq_build,768,1,3464103.333,33554432,100000
pq_build,768,2,2579630.833,33554432,100000
pq_build,768,4,2134221.750,33554432,100000
pq_sidecar_bytes,768,0,0.000,1306641,100000
pq_manifest_code_bytes,768,0,0.000,49313,1257328
pq_search,768,0,12256.083,100000,160
pq_search_p95,768,0,13116.750,1294240,0
pq_search_p99,768,0,13255.167,160,45535164
pq_search_work,768,0,0.000,160,1
pq_search_io,768,0,0.000,100160,0
pq_search_rerank,768,0,0.000,160,1294240
pq_recall,768,0,0,0.100000,0
