schema,revision,dirty,timestamp_ms,records,repetition,operation,pattern,cache_state,sample_count,logical_operations,observed_items,total_ns,ns_per_op,ops_per_sec,p50_ns,p95_ns,p99_ns,max_ns,node_cache_hits,node_cache_misses,node_cache_evictions,nodes_read,bytes_read,nodes_written,bytes_written,store_get_calls,store_batch_get_calls,store_batch_get_keys,store_put_calls,store_batch_put_calls,store_batch_put_nodes,tree_nodes,tree_leaves,tree_internal_nodes,tree_height,tree_records,tree_bytes,pg_statement_calls,pg_execution_ms,pg_shared_blks_hit,pg_shared_blks_read,pg_shared_blks_dirtied,pg_shared_blks_written,pg_temp_blks_read,pg_temp_blks_written,pg_wal_bytes,pg_commits,pg_rollbacks,database_bytes_before,database_bytes_after,prolly_table_bytes_before,prolly_table_bytes_after,prolly_index_bytes_before,prolly_index_bytes_after,validated,error
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415707269,1000000,1,build,base,cold-manager,1,1000000,1000000,3620603375,3620.603375,276197.05790060473,,,,,0,0,0,0,0,7719,31662829,0,0,0,0,1,7719,7719,7644,75,3,1000000,31662829,7720,297.8262790000004,51517,3,1119,1120,0,0,9809670,31,0,8027159,17202199,49152,9224192,24576,647168,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415712703,1000000,1,put,append,cold-manager,1,1,1,8274042,8274042.0,120.85991344979878,,,,,0,0,0,0,0,4,13459,0,0,0,0,1,4,7719,7644,75,3,1000001,31662866,10,0.396332,94,0,1,1,0,0,15908,0,0,26426391,26434583,9240576,9248768,647168,647168,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415722038,1000000,1,put,random,cold-manager,1,1,1,9214148500,9214148500.0,0.10852874793585104,,,,,106972,7717,0,7717,31660662,7719,31662829,3,6650,7714,0,1,7719,7719,7644,75,3,1000000,31662829,15442,439.1575570000002,100789,0,1045,1045,0,0,10219972,8530,0,26442775,35003415,9240576,17801216,647168,778240,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415731347,1000000,1,put,clustered,cold-manager,1,1,1,9185897125,9185897125.0,0.10886252985333754,,,,,106972,7717,0,7717,31660662,7719,31662829,3,6650,7714,0,1,7719,7719,7644,75,3,1000000,31662829,15442,451.06905599999885,100779,0,1044,1044,0,0,18819933,7358,0,26459159,35011607,9240576,17793024,647168,770048,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415737010,1000000,1,batch,append,cold-manager,1,10000,10000,39417541,3941.7541,253694.1611857523,,,,,0,0,0,0,0,77,329763,0,0,0,0,1,77,7792,7717,75,3,1010000,31979170,83,3.628913,594,0,11,11,0,0,104600,0,0,26475543,26565655,9240576,9330688,647168,647168,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415746665,1000000,1,batch,random,cold-manager,1,10000,10000,9500708250,950070.825,1052.5531083432647,,,,,106972,7717,0,7717,31660662,7719,31662829,3,6650,7714,0,1,7719,7719,7644,75,3,1000000,31662829,15442,431.3625159999997,86314,0,1105,1105,0,0,10063258,8411,0,26491927,35544087,9240576,18292736,647168,1196032,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415756163,1000000,1,batch,clustered,cold-manager,1,10000,10000,9343542500,934354.25,1070.2578813121468,,,,,106972,7717,0,7717,31660662,7719,31662829,3,6650,7714,0,1,7719,7719,7644,75,3,1000000,31662829,15442,458.57477700000095,100566,0,1047,1047,0,0,10221934,7694,0,26508311,35085335,9240576,17817600,647168,794624,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415786665,1000000,1,get_cold,append,cold-manager,10000,10000,10000,30343240583,3034324.0583,329.5626903344848,2765959,4388500,7285042,46317792,0,40000,39996,40000,199062901,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,995.5698449999976,197645,0,0,0,0,0,0,39297,0,26524695,26549271,9240576,9248768,647168,647168,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415814379,1000000,1,get_cold,random,cold-manager,10000,10000,10000,27639291542,2763929.1542,361.80377434075115,2675250,3317666,4026666,23546583,0,40000,39996,40000,172775425,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,773.5802030000076,179596,0,0,0,0,0,0,40559,0,26557463,26557463,9240576,9240576,647168,647168,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415841207,1000000,1,get_cold,clustered,cold-manager,10000,10000,10000,26741088125,2674108.8125,373.9563608352605,2565166,3179125,4027000,24820792,0,40000,39996,40000,232712982,0,0,40000,0,0,0,0,0,7719,7644,75,3,1000000,31662829,40000,866.8694820000079,199852,0,0,0,0,0,0,39290,0,26573847,26598423,9240576,9248768,647168,647168,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415841358,1000000,1,get_warm,append,warm-manager,10000,10000,10000,7351375,735.1375,1360289.7417149853,541,667,750,7167,40000,0,0,0,0,0,0,0,0,0,0,0,0,7719,7644,75,3,1000000,31662829,0,0.0,0,0,0,0,0,0,0,0,0,26606615,26606615,9240576,9240576,647168,647168,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415844457,1000000,1,get_warm,random,warm-manager,10000,10000,10000,16585791,1658.5791,602925.7211790502,1417,2042,2417,12625,40000,0,0,0,0,0,0,0,0,0,0,0,0,7719,7644,75,3,1000000,31662829,0,0.0,0,0,0,0,0,0,0,0,0,26622999,26622999,9240576,9240576,647168,647168,true,
postgres-scale-v1,42873d1561c3641c9091fe2a616567e790029762,true,1784415844611,1000000,1,get_warm,clustered,warm-manager,10000,10000,10000,7800458,780.0458,1281976.0070498425,583,667,833,20417,40000,0,0,0,0,0,0,0,0,0,0,0,0,7719,7644,75,3,1000000,31662829,0,0.0,0,0,0,0,0,0,0,0,0,26639383,26639383,9240576,9240576,647168,647168,true,
