prolly proximity benchmark
schema_version=3
dataset=linear-mod-2000003-v2
revision=d79fbf0c267711b2707582f4a1d2bbd8a6cde6d9
compiler=rustc 1.97.0 (2d8144b78 2026-07-07) | binary: rustc | commit-hash: 2d8144b7880597b6e6d3dfd63a9a9efae3f533d3 | commit-date: 2026-07-07 | host: aarch64-apple-darwin | release: 1.97.0 | LLVM version: 22.1.6
target_arch=aarch64
target_os=macos
machine=Haipings-Mac-Studio.local
store=memory
seed=0
records=100000
profile=quantizers
search_repeats=30
metric=InnerProduct
k=10
eligibility_ppm=1000000
effective_k=10
turboquant_bits=4
rerank_multiplier=8
search_cache=warm
search_order=scalar-first
async_quantizers=false
operation,dimensions,threads,micros,metric_a,metric_b
source_build,768,0,10850263.792,100000,0
source_closure_bytes,768,0,0.000,910057491,103980
turboquant_build,768,1,1307655.167,76800000,39200000
turboquant_build_resources,768,1,0.000,1864126,1228800000
turboquant_build,768,2,846273.792,76800000,39200000
turboquant_build_resources,768,2,0.000,1864126,1228800000
turboquant_build,768,4,678642.541,76800000,39200000
turboquant_build_resources,768,4,0.000,1864126,1228800000
turboquant_sidecar_bytes,768,0,0.000,39757465,39200000
turboquant_manifest_code_bytes,768,0,0.000,137,39757328
turboquant_search_scalar,768,0,115012.917,100000,80
turboquant_search_scalar_p95,768,0,125509.125,39447120,40542295
turboquant_search_scalar_p99,768,0,127345.625,80,782161
turboquant_search_scalar_work,768,0,0.000,80,1
turboquant_search_scalar_io,768,0,0.000,100080,659
turboquant_search_scalar_rerank,768,0,0.000,80,39447120
turboquant_recall,768,0,0,0.000000,0.009057112352759421
turboquant_search_simd,768,0,161963.291,100000,80
turboquant_search_simd_p95,768,0,170002.208,39447120,40542295
turboquant_search_simd_p99,768,0,176371.084,80,782161
turboquant_search_simd_work,768,0,0.000,80,1
turboquant_search_simd_io,768,0,0.000,100080,659
turboquant_search_simd_rerank,768,0,0.000,80,39447120
turboquant_search_auto,768,0,117244.667,100000,80
turboquant_search_auto_p95,768,0,157891.292,39447120,40542295
turboquant_search_auto_p99,768,0,158014.000,80,782161
turboquant_search_auto_work,768,0,0.000,80,1
turboquant_search_auto_io,768,0,0.000,100080,659
turboquant_search_auto_rerank,768,0,0.000,80,39447120
pq_build,768,1,3526469.375,33554432,100000
pq_build,768,2,2624969.541,33554432,100000
pq_build,768,4,2170284.250,33554432,100000
pq_sidecar_bytes,768,0,0.000,1306641,100000
pq_manifest_code_bytes,768,0,0.000,49313,1257328
pq_search,768,0,11637.458,100000,80
pq_search_p95,768,0,12944.125,1047120,0
pq_search_p99,768,0,14059.625,80,829299
pq_search_work,768,0,0.000,80,1
pq_search_io,768,0,0.000,100080,0
pq_search_rerank,768,0,0.000,80,1047120
pq_recall,768,0,0,0.000000,0
